Pas	Proportion
1549	0.68940
1550	0.68940
1551	0.68940
1552	0.68940
1553	0.68940
1554	0.68950
1555	0.68950
1556	0.68950
1557	0.68950
1558	0.68950
1559	0.68950
1560	0.68960
1561	0.68960
1562	0.68960
1563	0.68960
1564	0.68960
1565	0.68960
1566	0.68960
1567	0.68960
1568	0.68960
1569	0.68960
1570	0.68970
1571	0.68970
1572	0.68970
1573	0.68970
1574	0.68970
1575	0.68970
1576	0.68980
1577	0.68980
1578	0.68990
1579	0.68990
1580	0.69000
1581	0.69000
1582	0.69020
1583	0.69020
1584	0.69020
1585	0.69020
1586	0.69030
1587	0.69030
1588	0.69030
1589	0.69030
1590	0.69030
1591	0.69030
1592	0.69030
1593	0.69030
1594	0.69030
1595	0.69030
1596	0.69040
1597	0.69040
1598	0.69040
1599	0.69040
1600	0.69050
1601	0.69050
1602	0.69050
1603	0.69050
1604	0.69050
1605	0.69050
1606	0.69060
1607	0.69060
1608	0.69070
1609	0.69070
1610	0.69090
1611	0.69090
1612	0.69090
1613	0.69090
1614	0.69100
1615	0.69100
1616	0.69100
1617	0.69100
1618	0.69100
1619	0.69100
1620	0.69110
1621	0.69110
1622	0.69110
1623	0.69110
1624	0.69110
1625	0.69110
1626	0.69110
1627	0.69110
1628	0.69110
1629	0.69110
1630	0.69110
1631	0.69110
1632	0.69110
1633	0.69110
1634	0.69120
1635	0.69120
1636	0.69120
1637	0.69120
1638	0.69130
1639	0.69130
1640	0.69140
1641	0.69140
1642	0.69140
1643	0.69140
1644	0.69140
1645	0.69140
1646	0.69140
1647	0.69140
1648	0.69140
1649	0.69140
1650	0.69150
1651	0.69150
1652	0.69160
1653	0.69160
1654	0.69160
1655	0.69160
1656	0.69170
1657	0.69170
1658	0.69170
1659	0.69170
1660	0.69180
1661	0.69180
1662	0.69180
1663	0.69180
1664	0.69180
1665	0.69180
1666	0.69190
1667	0.69190
1668	0.69190
1669	0.69190
1670	0.69190
1671	0.69190
1672	0.69200
1673	0.69200
1674	0.69200
1675	0.69200
1676	0.69200
1677	0.69200
1678	0.69200
1679	0.69200
1680	0.69200
1681	0.69200
1682	0.69200
1683	0.69200
1684	0.69200
1685	0.69200
1686	0.69200
1687	0.69200
1688	0.69200
1689	0.69200
1690	0.69210
1691	0.69210
1692	0.69210
1693	0.69210
1694	0.69210
1695	0.69210
1696	0.69210
1697	0.69210
1698	0.69210
1699	0.69210
1700	0.69210
1701	0.69210
1702	0.69230
1703	0.69230
1704	0.69230
1705	0.69230
1706	0.69230
1707	0.69230
1708	0.69240
1709	0.69240
1710	0.69240
1711	0.69240
1712	0.69250
1713	0.69250
1714	0.69250
1715	0.69250
1716	0.69250
1717	0.69250
1718	0.69250
1719	0.69250
1720	0.69260
1721	0.69260
1722	0.69270
1723	0.69270
1724	0.69270
1725	0.69270
1726	0.69270
1727	0.69270
1728	0.69270
1729	0.69270
1730	0.69270
1731	0.69270
1732	0.69270
1733	0.69270
1734	0.69270
1735	0.69270
1736	0.69280
1737	0.69280
1738	0.69280
1739	0.69280
1740	0.69280
1741	0.69280
1742	0.69280
1743	0.69280
1744	0.69280
1745	0.69280
1746	0.69280
1747	0.69280
1748	0.69290
1749	0.69290
1750	0.69290
1751	0.69290
1752	0.69300
1753	0.69300
1754	0.69300
1755	0.69300
1756	0.69310
1757	0.69310
1758	0.69320
1759	0.69320
1760	0.69340
1761	0.69340
1762	0.69340
1763	0.69340
1764	0.69340
1765	0.69340
1766	0.69340
1767	0.69340
1768	0.69340
1769	0.69340
1770	0.69340
1771	0.69340
1772	0.69340
1773	0.69340
1774	0.69340
1775	0.69340
1776	0.69340
1777	0.69340
1778	0.69340
1779	0.69340
1780	0.69340
1781	0.69340
1782	0.69340
1783	0.69340
1784	0.69350
1785	0.69350
1786	0.69360
1787	0.69360
1788	0.69360
1789	0.69360
1790	0.69360
1791	0.69360
1792	0.69360
1793	0.69360
1794	0.69360
1795	0.69360
1796	0.69360
1797	0.69360
1798	0.69370
1799	0.69370
1800	0.69370
1801	0.69370
1802	0.69370
1803	0.69370
1804	0.69370
1805	0.69370
1806	0.69370
1807	0.69370
1808	0.69370
1809	0.69370
1810	0.69370
1811	0.69370
1812	0.69370
1813	0.69370
1814	0.69370
1815	0.69370
1816	0.69390
1817	0.69390
1818	0.69410
1819	0.69410
1820	0.69410
1821	0.69410
1822	0.69410
1823	0.69410
1824	0.69410
1825	0.69410
1826	0.69410
1827	0.69410
1828	0.69420
1829	0.69420
1830	0.69420
1831	0.69420
1832	0.69420
1833	0.69420
1834	0.69420
1835	0.69420
1836	0.69420
1837	0.69420
1838	0.69420
1839	0.69420
1840	0.69420
1841	0.69420
1842	0.69420
1843	0.69420
1844	0.69430
1845	0.69430
1846	0.69430
1847	0.69430
1848	0.69430
1849	0.69430
1850	0.69440
1851	0.69440
1852	0.69440
1853	0.69440
1854	0.69440
1855	0.69440
1856	0.69440
1857	0.69440
1858	0.69450
1859	0.69450
1860	0.69450
1861	0.69450
1862	0.69450
1863	0.69450
1864	0.69450
1865	0.69450
1866	0.69470
